ApplicationDocsID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,VerificationStatus
20033,012649,SUPPL,46,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/12649-S046_Periactin.pdf,1999-09-24 00:00:00,INDEX ONLY - content not screened for IND information
20034,012827,SUPPL,9,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/012827_s009_s010_s011_Robinul & Robinul Forte_Tablets.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20035,012827,SUPPL,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/012827_s014_Robinul_Forte_Tabs.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20036,012827,SUPPL,17,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/012827_s017_Robinul-Robinul_Forte_Tabs.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20037,012827,SUPPL,25,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/012827_s024&s025_Robinul_Robinul_Forte_Tabs.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20038,012827,SUPPL,33,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/012827_s032&s033_Robinul & Robinul Forte Tablets.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20039,012945,SUPPL,37,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/012945Orig1s037.pdf,2015-01-28 00:00:00,INDEX ONLY - content not screened for IND information
20040,012945,SUPPL,38,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/012945Orig1s038.pdf,2015-01-28 00:00:00,INDEX ONLY - content not screened for IND information
20041,013217,SUPPL,43,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/013217_S043_SKELAXIN.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20042,013217,SUPPL,44,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/013217s044_SkelexinTOC.html,2006-05-10 00:00:00,INDEX ONLY - content not screened for IND information
20043,013217,SUPPL,45,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/013217_S045_SKELAXIN.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20044,013263,SUPPL,81,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/016087_S081_VALIUM_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20045,014214,SUPPL,50,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/17-430s026s027_14-214s050s051_Negram.html,2004-08-10 00:00:00,INDEX ONLY - content not screened for IND information
20046,014901,SUPPL,29,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/014901_S029_Kenalog_40.pdf,2009-01-12 00:00:00,INDEX ONLY - content not screened for IND information
20047,014901,SUPPL,34,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/014901_S034_Kenalog_40.pdf,2009-01-12 00:00:00,INDEX ONLY - content not screened for IND information
20048,015034,SUPPL,34,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/015034_S034_PONSTEL.pdf,2008-08-04 00:00:00,INDEX ONLY - content not screened for IND information
20049,016084,SUPPL,41,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/016084_S041_Zyloprim Tablets.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20050,016126,SUPPL,23,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/016126_S023_PRIMATENE MIST.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
