ApplicationDocsID,ApplicationDocsTypeID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,UnparsedExtraFields,screening_status
73555,1,211765,SUPPL     ,7,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/211765Orig1s007ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73556,1,210951,SUPPL     ,11,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/210951Orig1s011ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73557,1,022395,SUPPL     ,23,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/022395Orig1s023ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73558,1,217171,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/217171Orig1s000ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73559,1,216354,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/216354Orig1s000ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73560,2,216403,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216403s000lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73565,2,207793,SUPPL     ,15,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207793s015lbl.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73566,8,216403,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216403s000lbl.pdf#page=22,2023-02-21 00:00:00,[],Unscreened Stage B index row
73567,1,216403,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/216403Orig1s000ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73568,1,214012,SUPPL     ,6,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/214012Orig1s006ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73569,1,209531,SUPPL     ,11,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/209531Orig1s011ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73570,1,208464,SUPPL     ,15,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/208464Orig1s015Corrected_ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73571,1,208341,SUPPL     ,20,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/208341Orig1s020Corrected_ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73572,1,050420,SUPPL     ,89,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/050420Orig1s089;050627Orig1s034ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73573,1,050627,SUPPL     ,34,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/050420Orig1s089;050627Orig1s034ltr.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73574,2,217171,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217171s000lbl.pdf,2023-09-13 00:00:00,[],Unscreened Stage B index row
73575,2,022395,SUPPL     ,23,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022395s023lbl.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73576,2,761028,SUPPL     ,11,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761028s011lbl.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73577,2,210951,SUPPL     ,11,0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210951Orig1s011lbl.pdf,2023-03-01 00:00:00,[],Unscreened Stage B index row
73578,2,211765,SUPPL     ,7,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211765s007lbl.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73579,2,216354,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216354s000lbl.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73581,2,050420,SUPPL     ,89,0,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050420s089,050627s034lbl.pdf",2023-02-21 00:00:00,[],Unscreened Stage B index row
73582,2,050627,SUPPL     ,34,0,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050420s089,050627s034lbl.pdf",2023-02-21 00:00:00,[],Unscreened Stage B index row
73583,2,209531,SUPPL     ,11,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209531s011lbl.pdf,2023-02-21 00:00:00,[],Unscreened Stage B index row
73584,2,020438,SUPPL     ,7,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020438s007s008lbl.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73585,2,020438,SUPPL     ,8,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020438s007s008lbl.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73586,2,761099,SUPPL     ,10,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761099s010lbl.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73588,1,020438,SUPPL     ,7,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/020438Orig1s007;s008ltr.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73589,1,020438,SUPPL     ,8,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/020438Orig1s007;s008ltr.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73590,1,021394,SUPPL     ,33,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/021394Orig1s033ltr.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73591,1,022122,SUPPL     ,23,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/022122Orig1s023ltr.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73592,2,021394,SUPPL     ,33,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021394Orig1s033lbl.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73593,2,022122,SUPPL     ,23,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022122Orig1s023lbl.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73594,2,214012,SUPPL     ,6,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214012Orig1s006lbl.pdf,2023-02-22 00:00:00,[],Unscreened Stage B index row
73596,1,019821,SUPPL     ,29,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/019821Orig1s029ltr.pdf,2023-02-23 00:00:00,[],Unscreened Stage B index row
73597,1,213464,SUPPL     ,4,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/213464Orig1s004ltr.pdf,2023-02-23 00:00:00,[],Unscreened Stage B index row
73598,2,213464,SUPPL     ,4,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/213464s004lbl.pdf,2023-02-23 00:00:00,[],Unscreened Stage B index row
73599,2,019821,SUPPL     ,29,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019821s029lbl.pdf,2023-02-23 00:00:00,[],Unscreened Stage B index row
73600,8,019821,SUPPL     ,29,0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019821s029lbl.pdf#page=30,2023-02-23 00:00:00,[],Unscreened Stage B index row
73602,1,018902,SUPPL     ,35,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/018902Orig1s035ltr.pdf,2023-02-24 00:00:00,[],Unscreened Stage B index row
73603,1,020402,SUPPL     ,55,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/020402Orig1s055ltr.pdf,2023-02-24 00:00:00,[],Unscreened Stage B index row
73604,1,216903,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/216903Orig1s000ltr.pdf,2023-02-24 00:00:00,[],Unscreened Stage B index row
73605,2,216903,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216903s000lbl.pdf,2023-02-24 00:00:00,[],Unscreened Stage B index row
73606,2,018902,SUPPL     ,35,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018902s035lbl.pdf,2023-02-24 00:00:00,[],Unscreened Stage B index row
73607,2,020402,SUPPL     ,55,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020402Orig1s055lbl.pdf,2023-02-24 00:00:00,[],Unscreened Stage B index row
73608,2,022074,SUPPL     ,26,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022074s026lbl.pdf,2023-02-27 00:00:00,[],Unscreened Stage B index row
