parent_id,child_id,label
00ca83445f6f9f18f71e05e0,d6c633ee85f36f7370bee2c2,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,b4a08501afafbe2e2b52bbee,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,19914a83dd96095b49f3e2f3,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,6b4ec59e5551b30088641837,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,98b53970b652dd467aa0df52,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,8c17abb0c6551cc153a313f6,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,02ba3e993e88615873e9b970,FDA pdfFilenames metadata
00ca83445f6f9f18f71e05e0,d716286128c2b6e1a8f41ca6,FDA pdfFilenames metadata
00dab11da21563536d42f07d,c8cca9f5fb304bab6af9fe23,FDA pdfFilenames metadata
00dab11da21563536d42f07d,d0324c0c71d37a48d909ed9e,FDA pdfFilenames metadata
00dab11da21563536d42f07d,5d1b12c2372019811f990dc0,FDA pdfFilenames metadata
00dab11da21563536d42f07d,f66f625f9fdb1f15cd923395,FDA pdfFilenames metadata
00dab11da21563536d42f07d,a6f992f4cbcd9c438fcb9546,FDA pdfFilenames metadata
00dab11da21563536d42f07d,69ef85e7a61f718d8fbf28e8,FDA pdfFilenames metadata
00dab11da21563536d42f07d,6c975260b0f850cb9f04c3d9,FDA pdfFilenames metadata
00dab11da21563536d42f07d,7f32fb08954e8a43386cf961,FDA pdfFilenames metadata
00dab11da21563536d42f07d,17a91df5a4ec85dde21cac7b,FDA pdfFilenames metadata
00dab11da21563536d42f07d,2a42309eed6021f25c728925,FDA pdfFilenames metadata
00dab11da21563536d42f07d,1fa85ff4ae0ebd2292f421bb,FDA pdfFilenames metadata
00dab11da21563536d42f07d,4fbc62d3faa19ffc6f0a3e4c,FDA pdfFilenames metadata
00dab11da21563536d42f07d,14f83c0f00c2c791216c3680,FDA pdfFilenames metadata
00dc2b1be249d8eddea50a06,2eb4175a29527a705fc56833,FDA pdfFilenames metadata
00dc2b1be249d8eddea50a06,4ddedd985ead6a0e13561a30,FDA pdfFilenames metadata
00dc2b1be249d8eddea50a06,9aca6ad4bf8f2a8a89564266,FDA pdfFilenames metadata
00dc2b1be249d8eddea50a06,7ed75fcb09dd52e36141a16f,FDA pdfFilenames metadata
