document_id,index_row_id,application,submission_type,submission_no,original_url
c6d812149123eaede2d8a3a7,20087,017703,SUPPL,12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/1996-017703a_s012.pdf
0c00be0af38873ad7d21e49c,20088,017781,SUPPL,22,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/17-781S015_Diprosone.html
6a3b5da9f12fa52e204667be,20089,017820,SUPPL,36,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/17820-s036_doubtrex.pdf
738c632581d19ad982e7edb6,20090,017820,SUPPL,37,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/17-820_Dobutrex.html
fff80392af30e3bc5415120f,20091,017831,SUPPL,53,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/017831_S053_DIDRONEL_AP.pdf
15cd321829f39ce24688a748,20092,017853,SUPPL,16,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/17559-S023_Proventil.pdf
eb63b769c55df1e03038a0ec,20093,017854,SUPPL,39,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18821-S018_Reglan.pdf
a8e065e54e380494b578268c,20094,017858,SUPPL,35,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/017858Orig1s035MedR.pdf
ed98b7158e6e23ef1f30786c,20095,017874,SUPPL,27,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/017874_S018 & S027_SCOPOLAMINE_AP.pdf
e1be515c396a6478af68773a,20096,017892,SUPPL,34,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/017892_s034_HalcionTOC.html
eccf6ce36cb2590e68e6ed7b,20097,017962,SUPPL,63,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/017962_s063_s064_ParlodelTOC.html
b9a94387dccc994fcf01e3f9,20098,017970,SUPPL,40,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/17970S39S40.html
1229f8474bd6df66df8b6cb5,20099,017970,SUPPL,49,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/17-970S049FA_Nolvadex.html
1229f8474bd6df66df8b6cb5,20100,017970,SUPPL,51,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/17-970S049FA_Nolvadex.html
c677e33a1301e472aa9bf30d,20101,018013,SUPPL,53,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/018013_s053_PAMELOR CAPSULES.pdf
3061017b7861ce5da5eae6ef,20102,018017,SUPPL,36,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/18-017s036_Blocadren.html
61c5bc37955c73efbb2fd7b0,20103,018024,SUPPL,40,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/018024_S040_NUBAIN.pdf
0a9a6098469cff5e0ca6bdaf,20104,018035,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/18-035_Technescan%20MDP.pdf
ef9c220f1c422aba8779705d,20105,018044,SUPPL,18,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018044a_s018_s019_s024.pdf
905fdc9cc7855ede17e91f46,20106,018060,SUPPL,55,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/18-060S055.pdf
5d9045a250eab571cc394e10,20107,018086,SUPPL,60,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/018086_s060_TimopticTOC.html
4719f97151b5185ad37d602b,20108,018117,SUPPL,29,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18117s029_azmacort_approv_prntlbl_medr_admindocs_corres.pdf
9aa6b0f66cb4f0212ded4228,20109,018118,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018118_lanoxicaps_toc.html
e4c3d56eb4c48484729dd289,20110,018140,SUPPL,3,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018140ap_s003.pdf
646509916b1efc4495bd38cd,20111,018148,SUPPL,23,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18148s023_nasalide.pdf
