document_id,url,pdf_page,terms,applications,lesson_hints,manual_status
e0267de59bcc6f20fe5dc461,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214665Orig1s000MultidisciplineR.pdf,36,may_proceed,214665,cmc-material; cmc-controls,Unreviewed strong-term hit
e0267de59bcc6f20fe5dc461,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214665Orig1s000MultidisciplineR.pdf,45,initial_ind; original_ind_review,214665,nonclinical-pharmacology; nonclinical-pkpd; nonclinical-safety,Unreviewed strong-term hit
e0267de59bcc6f20fe5dc461,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214665Orig1s000MultidisciplineR.pdf,89,investigator_brochure,214665,nonclinical-pkpd,Unreviewed strong-term hit
e0267de59bcc6f20fe5dc461,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214665Orig1s000MultidisciplineR.pdf,223,investigator_brochure,214665,,Unreviewed strong-term hit
e04384c63e1d6e9a515c7f78,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/219423Orig1s000AdminCorres.pdf,24,may_proceed,219423,nonclinical-pkpd,Unreviewed strong-term hit
e06ca10bbf53412ef5d30d4e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/217927Orig1s000MultidisciplineR.pdf,13,pre_ind,217927,nonclinical-safety; cmc-material; cmc-controls,Unreviewed strong-term hit
e06ca10bbf53412ef5d30d4e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/217927Orig1s000MultidisciplineR.pdf,15,pre_ind,217927,,Unreviewed strong-term hit
e06ca10bbf53412ef5d30d4e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/217927Orig1s000MultidisciplineR.pdf,69,pre_ind,217927,nonclinical-pharmacology; nonclinical-pkpd; clinical,Unreviewed strong-term hit
e06fda50420402a424a617b9,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/215040Orig1s000MultidisciplineR.pdf,17,pre_ind,215040,cmc-controls,Unreviewed strong-term hit
e06fda50420402a424a617b9,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/215040Orig1s000MultidisciplineR.pdf,87,pre_ind,215040,clinical,Unreviewed strong-term hit
e07337b585808cab5b1a5de5,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/761369Orig1s000IntegratedR.pdf,102,may_proceed; pre_ind,761369,cmc-material,Unreviewed strong-term hit
e0818302b0b91ae31efda976,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/214278Orig1s000MultidisciplineR.pdf,16,pre_ind,214278,nonclinical-pkpd,Unreviewed strong-term hit
e0a302cdaf9865f5a5ac1d55,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219947Orig1s000AdminCorres.pdf,33,clinical_hold,219947,nonclinical-pharmacology,Unreviewed strong-term hit
e0dbe964c8e4ad41797bd9a8,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/125514Orig1s014.pdf,360,investigator_brochure,125514,clinical,Unreviewed strong-term hit
e15480d8c7ba42fc3ecb5e06,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216540Orig1s000IntegratedR.pdf,120,may_proceed,216540,cmc-controls,Unreviewed strong-term hit
e182b61066d391757487c89e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/761171Orig1s000MultidisciplineR.pdf,35,clinical_hold; pre_ind,761171,nonclinical-pkpd; nonclinical-package; cmc-material; cmc-controls,Unreviewed strong-term hit
e182b61066d391757487c89e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/761171Orig1s000MultidisciplineR.pdf,36,clinical_hold,761171,clinical,Unreviewed strong-term hit
e182b61066d391757487c89e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/761171Orig1s000MultidisciplineR.pdf,85,pre_ind,761171,,Unreviewed strong-term hit
e182b61066d391757487c89e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/761171Orig1s000MultidisciplineR.pdf,86,pre_ind,761171,,Unreviewed strong-term hit
e191e9095d0d1698cdf1fc5b,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/215985Orig1s000MultidisciplineR.pdf,29,pre_ind,215985,clinical,Unreviewed strong-term hit
e1b59bf3d6bb3dba6cde686d,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/216660Orig1s000SumR.pdf,13,pre_ind,216660,,Unreviewed strong-term hit
e27b0f7a88226d4d772b01b7,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/212782Orig1s000PharmR.pdf,10,pre_ind,212782,cmc-material; cmc-controls,Unreviewed strong-term hit
e283113e619c043a99f9496a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761338Orig1Orig2s000MultidisciplineR.pdf,23,pre_ind,761338,cmc-material; cmc-stability; clinical,Unreviewed strong-term hit
e2ace2ab28b23784b6bafce2,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761328Orig1s000IntegratedR.pdf,42,initial_ind; original_ind_review,761328,,Unreviewed strong-term hit
e2ace2ab28b23784b6bafce2,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761328Orig1s000IntegratedR.pdf,152,initial_ind; may_proceed; original_ind_review,761328,nonclinical-safety,Unreviewed strong-term hit
